page,written,transcription,phonetic_symbols,is_strong
0,iatav,"а'тав","",TRUE
0,torgwaьrgьn,"торвагыргын","",TRUE
0,ŋutqen,"ӈотӄэн","",TRUE
0,ieьr,"игыр","",FALSE
0,mьjarkьn,"мыйъоркын","",TRUE
0,ceŋet,"чеӈэт","",FALSE
0,iatav,"а'тав","",TRUE
0,nьmelieu,"нымԓьав","",TRUE
0,qoren,"ӄорэн","N",TRUE
0,waьrgьn,"вагыргын","",TRUE
0,ьruckete,"","T",NA
0,gemo,"гэмо","",TRUE
0,waliьn,"ваԓьын","AN",TRUE
0,ьrgen,"ыргин","",FALSE
0,waьrgьn,"вагыргын","",TRUE
0,murgьnan,"моргынан","",TRUE
0,gemo,"гэмо","",TRUE
0,waliьn,"ваԓьын","AN",TRUE
0,puriu,"пууръу","",FALSE
0,ьnanь,"ыннаны","",TRUE
0,nemьqe,"нэмыӄэй","KE",NA
1,iatav,"а'тав","",TRUE
1,ьmьlio,"ымыԓьо","",TRUE
1,waьrgьt,"вагыргыт","T",TRUE
1,ŋereq,"ӈирэӄ","",FALSE
1,mьneuolerkьnet,"","MNE",NA
1,iatav,"а'тав","",TRUE
1,ьmьlio,"ымыԓьо","",TRUE
1,qoriar,"","R",NA
1,qol,"ӄоԓ","",TRUE
1,ьnqen,"ынӄэн","",NA
1,iemlun,"э'митԓён","",TRUE
1,nьteqen,"нытэӈӄин","",FALSE
1,nutenut,"нутэнут","",FALSE
1,camiam,"чамъам","",TRUE
1,eun,"эвын","",NA
1,ьnanь,"ыннаны","",TRUE
1,waliьn,"ваԓьын","AN",TRUE
1,qoriargьrrgьn,"","RRN",NA
1,lьmьnkь,"ԓымынкы","",NA
1,waliьn,"ваԓьын","AN",TRUE
1,qonpь,"ӄонпы","",TRUE
2,uwŋe,"уйӈэ","",FALSE
2,nьteqen,"нытэӈӄин","",FALSE
2,nutecqьn,"нутэсӄын","",FALSE
2,mekь,"миӈкы","",FALSE
2,ьnanь,"ыннаны","",TRUE
2,qoriar,"","R",NA
2,waliьn,"ваԓьын","AN",TRUE
2,lьmьnkь,"ԓымынкы","",NA
2,ьnanь,"ыннаны","",TRUE
2,waliьn,"ваԓьын","AN",TRUE
2,eun,"эвын","",NA
2,ьŋen,"ынӈин","",FALSE
2,waliьn,"ваԓьын","AN",TRUE
2,qoriar,"","R",NA
2,eun,"эвын","",NA
2,teleeip,"тэԓенъеп","",FALSE
2,ьŋen,"ынӈин","",FALSE
2,waliьn,"ваԓьын","AN",TRUE
2,eun,"эвын","",NA
2,qonpь,"ӄонпы","",TRUE
2,lьen,"ԓыгэн","",NA
2,eun,"эвын","",NA
2,mekьrelь,"миӈкыриԓы","",FALSE
2,ŋargьnen,"ӈаргынэн","N",TRUE
2,iepe,"э'птэ","",NA
2,ьnqen,"ынӄэн","",NA
2,niqereqen,"ныӄэрыӄэн","N",NA
2,ŋargьnen,"ӈаргынэн","N",TRUE
2,ьnqen,"ынӄэн","",NA
2,iepe,"э'птэ","",NA
3,iataunan,"а'тавынан","",TRUE
3,nьqerьqen,"ныӄэрыӄэн","NN",NA
3,amalga,"","",NA
3,waliьn,"ваԓьын","AN",TRUE
3,ŋargьnen,"ӈаргынэн","N",TRUE
3,nьmkerqen,"","NN",NA
3,qьlьe,"ӄэгԓы","",NA
3,eep,"еп","",FALSE
3,lilŋkь,"ԓьэԓеӈкы","K",FALSE
3,peŋepe,"пиӈэпиӈ","P",FALSE
3,cama,"чама","",TRUE
3,jojien,"ёо-нэн","bN",TRUE
3,ьnkeken,"ынкэкин","N",FALSE
3,qoriar,"","R",NA
3,qoren,"ӄорэн","N",TRUE
3,tiьcgьrgьn,"тъычгыргын","bN",NA
3,iepe,"э'птэ","",NA
3,eэlь,"этԓы","",NA
3,nutecqe,"нутэсӄэ","N",FALSE
3,aqoriaraka,"","RAK",NA
3,iepe,"э'птэ","",NA
3,ŋargьnenata,"ӈаргынэната","NNAT",TRUE
3,qьlьe,"ӄэгԓы","",NA
3,iepe,"э'птэ","",NA
4,tьŋewelьn,"","N",NA
4,cemion,"чимгъун","",FALSE
4,neuqen,"нивӄин","",FALSE
4,ьlon,"ытԓён","",TRUE
4,ьnqen,"ынӄэн","",NA
4,qьrьmen,"ӄырымэн","",NA
4,nutecqьken,"нутэсӄын","KN",FALSE
4,qoriargьrrgьn,"","RR",NA
4,iepe,"э'птэ","",NA
4,ŋargьnenaken,"ӈаргынэнакэн","NNAKN",TRUE
4,tiьcgrgьn,"тъычгыргын","bT",NA
4,ьnkeken,"ынкэкин","N",FALSE
4,iepe,"э'птэ","",NA
4,qьlьe,"ӄэгԓы","",NA
4,iatav,"а'тав","",TRUE
4,mьnejuletьn,"","MTN",NA
4,ieьr,"игыр","",FALSE
4,mьreucecŋьrkьn,"мырэвчечӈыркын","MRU",FALSE
4,ieьrteьnьk,"игыттэгнык","T",FALSE
4,iatav,"а'тав","",TRUE
4,ьŋen,"ынӈин","",FALSE
5,ьmьlio,"ымыԓьо","",TRUE
5,warat,"варат","",TRUE
5,ьnqen,"ынӄэн","",NA
5,lьe,"","",NA
5,nьcьien,"","NbN",NA
5,waьrgьn,"вагыргын","",TRUE
5,kьnmal,"кынмаԓ","",TRUE
5,ьmьlio,"ымыԓьо","",TRUE
5,warata,"варата","",TRUE
5,murьkwarata,"морыкварата","A",TRUE
5,ŋьiowarata,"","TA",NA
5,qoren,"ӄорэн","N",TRUE
5,tiьcgьrgьn,"тъычгыргын","bT",NA
5,mьreucecŋьrkьn,"мырэвчечӈыркын","MRU",FALSE
5,qoren,"ӄорэн","N",TRUE
5,melewrmete,"","TE",NA
5,iatav,"а'тав","",TRUE
5,opopь,"опопы","",TRUE
5,ьnan,"ынан","",TRUE
5,nьrelioŋьrkьnen,"нырэԓьоӈыркынэн","NRL",TRUE
6,cama,"чама","",TRUE
6,ŋargьnenapь,"ӈаргынэнапы","NNP",TRUE
6,cama,"чама","",TRUE
6,nutecqepь,"нотасӄэпы","P",TRUE
6,эlepь,"эԓепы","P",FALSE
6,cama,"чама","",TRUE
6,peŋapь,"","P",NA
6,melewrmete,"","TE",NA
6,nьrelioŋьrkьnen,"","RLU",NA
6,qoren,"ӄорэн","N",TRUE
