N,sheet,day_total_one,day_total_two,day_within_year,is_pm,is_other,possible_date,year_within_file,day_within_month_one,month_number_one,day_within_month_two,month_number_two,fill_in_after,main_symbols_in_record,phonetic_symbols_in_record
44,38,,,1,,,,1,,,1,4,1,,
44,42,,,15,,,,1,,,15,4,0,,
44,42,,,16,,,,1,,,15,4,1,,
44,43,,,18,,,,1,,,17,4,0,,
44,43об,,,18,,,,1,,,18,4,1,,
44,45,,,30,,,,1,,,30,4,0,,
44,45,,,31,,,,1,,,1,5,1,,
44,50,,,60,,,,1,,,30,5,0,,
44,50,,,61,,,,1,,,1,6,1,,
44,57,,,90,,,,1,,,30,6,0,,
44,57об,,,91,,,,1,,,1,7,1,,
44,59,,,98,,,,1,,,8,7,0,,
44,59об,,,99,,,,1,,,14,7,1,,
44,62,,,109,,,,1,,,24,7,1,,
44,63об,,,115,,,,1,,,30,7,0,,
44,64,,,116,,,,1,,,1,8,1,,
44,65,,,120,,,,1,,,5,8,0,,
44,65,,,121,,,,1,,,5,8,1,,
44,73,,,140,,,,1,,,24,8,0,,
44,73,,,141,,,,1,,,24,8,1,,
44,74об,,,147,,,,1,,,30,8,0,,
44,75,,,148,,,,1,,,1,9,1,,
44,78,,,159,,,,1,,,12,9,0,,
44,78об,,,160,,,,1,,,14,9,1,,
44,82об,,,176,,,,1,,,30,9,0,,
44,82об,,,177,,,,1,,,1,10,1,,
44,84,,,188,,,,1,,,12,10,0,,
44,84,,,188,,,,1,,,12,10,1,,
44,85об,,,198,,,,1,,,22,10,3,,
41,2,,,221,,,,0,,,15,0,1,,
41,3об,,,230,,,,0,,,24,0,0,,
41,3об,,,211,,,,0,,,25,0,1,,
41,4об,,,216,,,,0,,,30,0,0,,
41,5об,,,217,,,,0,,,1,1,1,,
41,6об,,,219,,,,0,,,3,1,1,,
41,12,,,226,,1,1942-03-08,0,,,10,1,0,,
41,12,,,227,,,,0,,,11,1,1,,
41,14об,,,231,,,,0,,,15,1,0,,
41,15об,,,233,,,,0,,,16,1,1,,
41,18,,,247,,,,0,,,30,1,0,,
41,18,,,248,,,,0,,,1,2,1,,
41,29об,,,274,,,,0,,,27,2,0,,
41,29об,,,275,,,,0,,,27,3,1,,
41,30об,,,278,,,,0,,,30,4,0,,
41,31об,,,279,,,,0,,,1,5,1,,
41,31об,,,281,1,,1942-05-01,0,,,3,5,1,,
41,42об,,,308,,,,0,,,30,5,0,,
41,42об,,,309,,,,0,,,1,6,1,,
41,44,,,314,,,,0,,,6,6,0,,
41,44,,,315,,,,0,,,7,6,0,,
41,44,,,316,,,,0,,,8,6,3,,
40a,1об,,,317,,,,0,,,9,0,1,,
40a,3об,,,338,,,,0,,,30,0,0,,
40a,4,,,339,,,,0,,,1,1,1,,
40a,4об,,,346,,,,0,,,8,1,0,,
40a,5,,,347,,,,0,,,7,1,0,,
40a,5,,,348,,,,0,,,8,1,0,,
40a,5об,,,350,,,,0,,,9,1,1,,
40a,6,,,352,,,,0,,,11,1,0,,
40a,6,,,353,,,,0,,,18,1,0,,
40a,6,,,354,,,,0,,,19,1,0,,
40a,6об,,,355,,,,0,,,15,1,1,,
40a,8,,,364,,,,0,,,24,1,0,,
40a,8,,,1,,,,1,,,25,1,0,,
40a,8об,,,2,,,,1,,,23,1,1,,
40a,9,,,9,,,,1,,,30,1,0,,
40a,9,,,10,,,,1,,,1,2,1,,
40a,9об,,,14,,,,1,,,5,2,0,,
40a,9об,,,14,,,,1,,,5,2,1,,
40a,13,,,39,,,,1,,,30,2,0,,
40a,13об,,,40,,,,1,,,1,3,1,,
40a,18,,,69,,,,1,,,30,3,0,,
40a,18,,,70,,,,1,,,1,4,1,,
40a,19,,,77,,,,1,,,8,4,0,,
40a,19об,,,72,,,,1,,,3,4,1,,
40a,22об,,,91,,1,,1,,,22,4,1,,
40a,24,,,99,,,,1,,,30,4,0,,
40a,24об,,,100,,,,1,,,1,5,1,,
40a,32,,,129,,,,1,,,30,5,0,,
40a,32,,,130,,,,1,,,1,6,1,,
40a,41,,,159,,,,1,,,30,6,0,,
40a,41об,,,160,,,,1,,,1,7,1,,
40a,49об,,,189,,,,1,,,30,7,0,,
40a,50,,,190,,,,1,,,1,8,1,,
40a,52об,,,199,,,,1,,,10,8,0,,
40a,52об,,,200,,,,1,,,14,8,1,,
40a,57,,,216,,,,1,,,30,8,0,,
40a,57,,,217,,,,1,,,1,9,1,,
40a,57об,,,219,,,,1,,,3,9,1,,
40a,58,,,228,,,,1,,,12,9,1,,
40a,61,,,238,,,,1,,,22,9,1,,
40a,62об,,,246,,,,1,,,30,9,0,,
40a,63,,,247,,,,1,,,1,10,0,,
40a,63,,,248,,,,1,,,2,10,0,,
40a,63об,,,242,,,,1,,,3,10,1,,
40a,65,,,250,,,,1,,,11,10,3,,
42,1об,,,251,,,,0,,,12,0,1,,
42,2об,,,259,1,,1943-05-01,0,,,20,0,1,,
42,4об,,,269,,,,0,,,30,0,0,,
42,4об,,,270,,,,0,,,1,1,1,,
42,10,,,299,,,,0,,,30,1,0,,
42,10,,,300,,,,0,,,1,2,1,,
42,14,,,329,,,,0,,,30,2,0,,
42,14об,,,330,,,,0,,,1,3,1,,
42,15,,,334,,,,0,,,5,3,0,,
42,15,,,334,,,,0,,,6,3,0,,
42,15об,,,335,,,,0,,,7,3,0,,
42,15об,,,316,,,,0,,,8,3,1,,
42,20,,,338,,,,0,,,30,3,0,,
42,20об,,,339,,,,0,,,1,4,1,,
42,25,,,364,,,,0,,,26,4,0,,
42,25,,,1,,,,1,,,27,4,1,,
42,25об,,,4,,,,1,,,30,4,0,,
42,25об,,,5,,,,1,,,1,5,0,,
42,25об,,,6,,,,1,,,2,5,0,,
42,26,,,3,,,,1,,,3,5,1,,
42,29об,,,30,,,,1,,,30,5,0,,
42,29об,,,31,,,,1,,,1,6,1,,
42,34об,,,60,,,,1,,,30,6,0,,
42,34об,,,61,,,,1,,,1,7,1,,
42,39об,,,90,,,,1,,,30,7,0,,
42,40,,,91,,,,1,,,1,8,1,,
42,42,,,102,,,,1,,,12,8,0,,
42,42,,,105,,,,1,,,13,8,1,,
42,42об,,,106,,,,1,,,14,8,0,,
